product_id,category,product_name,price
119,Fashion,Jeans 852,1387.23
120,Beauty,Perfume 739,878.16
121,Books,Textbook 693,1440.57
122,Books,Cookbook 292,1506.02
123,Books,Biography 547,482.14
124,Books,Biography 377,1358.22
125,Beauty,Skincare Cream 473,1540.03
126,Books,Cookbook 541,840.23
127,Fashion,Jeans 821,1211.3
128,Home,Sofa 657,963.78
129,Home,Cookware 957,209.67
130,Beauty,Lipstick 292,172.33
131,Fashion,Sneakers 461,1811.09
132,Fashion,Jacket 94,1893.09
133,Fashion,Jacket 906,702.42
134,Electronics,Smartwatch 55,795.93
135,Home,Dining Table 396,1989.08
136,Home,Dining Table 29,640.78
137,Electronics,Headphones 811,296.37
138,Electronics,Headphones 940,1660.37
139,Fashion,Jacket 460,1232.62
140,Electronics,Smartphone 263,435.23
141,Fashion,Dress 963,1455.83
142,Beauty,Skincare Cream 114,1553.46
143,Fashion,Sneakers 125,100.26
144,Books,Cookbook 469,130.3
145,Books,Cookbook 549,37.79
146,Beauty,Makeup Kit 248,1438.5
147,Home,Chair 2,1231.55
148,Fashion,Dress 427,378.69
149,Electronics,Camera 999,724.4
150,Beauty,Makeup Kit 520,1573.89
151,Beauty,Makeup Kit 21,783.96
152,Books,Novel 651,776.83
153,Home,Bed Frame 766,37.4
154,Electronics,Headphones 247,1467.22
155,Electronics,Camera 753,1514.57
156,Fashion,T-shirt 361,1094.3
157,Fashion,Jacket 713,959.67
158,Fashion,Jeans 65,1433.51
159,Books,Novel 301,407.17
160,Fashion,T-shirt 324,1867.08
161,Beauty,Skincare Cream 835,1088.35
162,Home,Sofa 772,1295.57
163,Home,Bed Frame 883,1562.78
164,Home,Bed Frame 128,1599.69
165,Books,Comics 762,882.27
166,Books,Textbook 998,377.7
167,Books,Textbook 947,1595.6
168,Home,Sofa 745,851.88
169,Books,Cookbook 843,365.01
170,Home,Bed Frame 106,164.74
171,Home,Bed Frame 457,1207.23
172,Books,Biography 707,890.6
173,Books,Novel 745,1740.72
174,Home,Cookware 446,552.74
175,Electronics,Smartphone 688,1276.84
176,Home,Cookware 821,1501.05
177,Fashion,T-shirt 147,1698.1
178,Books,Novel 130,139.13
179,Home,Bed Frame 393,1899.19
180,Electronics,Camera 158,1359.73
181,Home,Bed Frame 455,1527.35
182,Beauty,Perfume 543,737.07
183,Home,Bed Frame 256,1921.24
184,Electronics,Laptop 512,1037.9
185,Beauty,Lipstick 269,1551.05
186,Books,Biography 627,574.73
187,Books,Biography 126,275.78
188,Electronics,Smartwatch 177,1797.86
189,Books,Novel 830,1365.45
190,Home,Bed Frame 727,134.55
191,Beauty,Shampoo 913,603.41
192,Fashion,Jeans 813,726.18
193,Fashion,T-shirt 206,1585.17
194,Fashion,Jacket 27,724.99
195,Beauty,Shampoo 479,1608.31
196,Beauty,Perfume 627,1769.07
197,Electronics,Headphones 408,1999.19
198,Books,Cookbook 421,1539.48
199,Beauty,Lipstick 129,1944.9
200,Electronics,Smartwatch 478,1361.82
201,Home,Dining Table 900,1658.96
202,Beauty,Makeup Kit 187,1536.72
203,Fashion,Jacket 515,1821.87
204,Electronics,Smartphone 531,310.27
205,Fashion,Jeans 331,1869.8
206,Fashion,Sneakers 971,1882.1
207,Home,Sofa 257,396.62
208,Beauty,Shampoo 129,1251.92
209,Beauty,Makeup Kit 96,1007.63
210,Fashion,Dress 965,1163.39
211,Fashion,Dress 738,1804.49
212,Home,Cookware 43,1651.35
213,Electronics,Smartphone 47,1897.35
214,Beauty,Shampoo 667,425.56
215,Beauty,Skincare Cream 633,1279.79
216,Books,Cookbook 297,1285.61
217,Home,Chair 251,1610.35
218,Books,Textbook 465,150.58
219,Electronics,Laptop 451,834.17
220,Books,Biography 349,1215.29
221,Home,Bed Frame 752,1976.11
222,Home,Chair 134,1522.53
223,Beauty,Makeup Kit 109,641.64
224,Books,Novel 274,901.94
225,Fashion,T-shirt 52,583.97
226,Books,Cookbook 429,500.3
227,Fashion,Sneakers 957,1157.49
228,Home,Dining Table 782,322.89
229,Beauty,Skincare Cream 511,1758.76
230,Books,Novel 93,1890.74
231,Beauty,Skincare Cream 990,485.25
232,Beauty,Shampoo 50,105.83
233,Books,Cookbook 904,1686.49
234,Books,Textbook 550,21.31
235,Electronics,Smartwatch 138,1765.5
236,Home,Chair 375,95.26
237,Electronics,Camera 576,393.34
238,Beauty,Shampoo 76,775.77
239,Books,Cookbook 287,1651.5
240,Beauty,Makeup Kit 122,261.68
241,Electronics,Smartwatch 383,1590.82
242,Home,Cookware 962,734.38
243,Fashion,Jeans 617,1020.7
244,Beauty,Lipstick 47,82.63
245,Home,Chair 532,916.69
246,Beauty,Makeup Kit 144,659.29
247,Beauty,Shampoo 167,788.94
248,Beauty,Shampoo 608,676.07
249,Beauty,Makeup Kit 502,1418.94
250,Home,Chair 836,38.19
251,Home,Sofa 427,1169.49
252,Electronics,Camera 486,534.73
253,Beauty,Makeup Kit 234,1444.19
254,Beauty,Skincare Cream 175,1050.84
255,Beauty,Skincare Cream 152,1644.21
256,Fashion,T-shirt 587,1896.67
257,Electronics,Laptop 20,884.87
258,Books,Biography 423,1382.55
259,Books,Cookbook 794,1224.9
260,Books,Novel 723,280.47
261,Fashion,Dress 333,1996.26
262,Books,Cookbook 386,630.94
263,Fashion,Jacket 935,1068.59
264,Beauty,Shampoo 693,1545.12
265,Home,Cookware 496,388.57
266,Fashion,Sneakers 572,600.51
267,Home,Bed Frame 722,418.52
268,Books,Textbook 492,700.86
269,Home,Bed Frame 125,1149.09
270,Beauty,Skincare Cream 918,1960.42
271,Home,Dining Table 298,88.92
272,Electronics,Headphones 947,887.54
273,Home,Chair 220,408.13
274,Beauty,Shampoo 956,1126.23
275,Home,Dining Table 112,1233.28
276,Beauty,Perfume 249,106.28
277,Beauty,Perfume 654,469.51
278,Electronics,Smartwatch 339,1436.13
279,Electronics,Laptop 6,1929.21
280,Fashion,Jacket 669,1870.39
281,Books,Comics 667,402.91
282,Home,Bed Frame 293,1293.57
283,Electronics,Camera 238,1072.63
284,Electronics,Laptop 428,1765.08
285,Fashion,T-shirt 857,797.0
286,Books,Biography 960,1499.26
287,Home,Sofa 10,600.29
288,Beauty,Lipstick 951,1966.07
289,Home,Chair 657,1088.88
290,Books,Biography 872,1010.9
291,Home,Dining Table 829,229.73
292,Fashion,Jacket 664,518.24
293,Fashion,T-shirt 755,677.54
294,Home,Cookware 691,1515.78
295,Fashion,Dress 877,1279.26
296,Books,Comics 528,659.21
297,Books,Novel 190,1963.46
298,Books,Textbook 959,499.85
299,Home,Chair 242,896.24
300,Home,Bed Frame 310,1167.01
